Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR
1946,20.9,25.7,17.1,-,14.6,159,1,78,68,0,0
1947,20.3,25.3,16.3,-,13.8,161,2,80,80,0,0
1948,20.6,25.7,16.4,-,12.8,165,4,81,98,0,0
1949,21,26,17,-,13.4,174,3,75,116,0,0
1950,20.5,25.6,16.4,-,13.5,163,0,86,105,0,0
1951,20.6,26,16.2,-,13.9,142,1,69,97,0,1
1952,20.1,25.4,15.8,-,14.7,136,0,59,97,0,0
1953,20.8,25.8,16.6,-,15.5,154,0,68,102,0,0
1954,20.4,25.8,16,-,14.6,131,0,64,96,0,0
1955,20.6,25.7,16.5,-,14.4,140,1,63,113,0,0
1956,20.6,25.7,16.5,-,13.6,135,0,64,113,0,0
1957,20.7,25.3,17.2,-,12.6,163,0,61,110,0,0
1958,19.5,24.1,16,-,15.9,159,1,61,99,0,0
1959,20.2,24.8,16.7,-,16,176,0,61,126,0,0
1960,19.3,24.7,14.8,-,12.9,132,1,55,127,0,0
1961,19.6,24.7,15.3,-,13.1,168,1,77,128,0,1
1962,20,25.4,15.3,-,11.9,145,1,65,156,0,0
1963,19.4,25,14.7,-,12,129,4,54,171,0,0
1964,19.7,25,15.1,-,12.1,140,1,54,165,0,0
1965,19.9,24.7,15.8,-,12.6,109,0,28,141,0,0
1966,19.4,24.1,15.4,-,13.2,110,0,17,158,0,0
1967,20.1,25.4,15.7,-,12.9,83,0,13,112,0,0
1968,18.9,24.3,14.1,-,12.6,135,1,36,116,0,0
1969,19.7,24.7,15.2,-,13.4,103,1,26,103,0,0
1970,19.6,24.6,15.5,-,12.7,87,0,19,137,0,0
1971,20.4,25.4,16.2,-,11.8,91,0,22,114,0,0
1972,20.4,25.5,16.2,-,13.7,100,0,32,172,0,0
1973,20.6,26.1,15.7,-,14.4,164,7,74,173,4,2
1974,20.7,26.8,14.8,-,13.4,151,1,77,199,0,0
1975,20.1,26.1,14.6,-,12.4,174,0,83,218,3,3
1976,19.4,25.8,13,-,12.4,143,1,62,225,0,1
1977,20.3,26.4,14.5,1854.7,11.1,163,1,81,220,0,0
1978,20.1,26.2,14.5,1939.82,11.9,147,3,73,243,0,0
1979,19.9,26,14.1,1526.05,12.1,149,3,60,214,0,1
1980,20.8,27.2,14.8,1982.22,11.1,135,3,67,259,0,0
1981,20.7,27,14.8,1476.3,11.4,127,0,58,244,1,0
1982,20.8,26.9,15.3,1731.91,12.2,161,1,75,229,0,0
1983,19,25,13.5,2224.73,12.6,147,1,79,234,0,0
1984,19.6,25.5,14,1506.39,12.3,141,0,65,238,1,0
1985,19.9,25.9,14.4,1773.92,13.7,160,1,69,215,1,1
1986,20.5,26.7,15,1175.93,13.4,144,1,67,231,2,0
1987,20,26.3,14.1,1708.35,12.7,153,0,78,213,3,0
1988,19.9,26,14.2,2037.59,14.2,143,2,60,200,0,0
1989,20,26.2,14.4,1736.07,13.9,159,2,75,184,1,1
1990,21.1,27.6,15.1,1624.35,13.5,132,0,68,172,0,1
1991,20.6,26.6,15.4,2625.05,14.2,169,0,102,146,0,3
1992,19.9,26.1,14.2,2018.52,13.2,164,0,87,187,2,0
1993,19.8,26.1,14,1434.74,13.3,145,1,69,143,0,0
1994,20.4,26.6,14.7,1349.44,11.5,140,1,78,147,1,0
1995,20.7,27.1,14.7,1950.93,11.7,130,2,70,135,0,0
1996,20.3,25.6,15.5,1335.49,12.8,138,1,72,85,1,1
1997,20.4,25,16.7,1312.92,13.3,158,2,74,20,2,1
1998,21.6,26.2,17.8,1977.05,13.4,125,0,64,26,1,0
1999,21.2,26.5,16.7,-,12.5,119,0,62,23,5,0
2000,21,27,15.7,-,13.4,113,0,65,31,4,0
2001,20.6,26.3,15.5,-,13.6,128,1,68,41,0,0
2003,20.8,26.5,15.9,2214.63,12.6,133,1,56,19,0,0
2004,20.7,26.1,16,2420.33,12.9,146,3,79,17,0,1
2006,21.4,27.1,16.3,1150.88,13,123,0,75,25,2,0
2007,21,26.6,16.3,1345.14,11.8,140,1,74,26,1,1
2008,20.9,26.6,15.8,1255.24,13.1,140,1,79,29,1,0
2009,21.1,26.7,16.3,2020.31,13.1,149,2,80,22,3,1
2010,20.4,26.2,15.4,1365.19,12.3,114,2,52,16,1,0
2011,21.5,27.4,16.2,1400.01,12.8,79,4,43,27,0,0
2012,21.9,27.7,17,1809.25,12.1,105,1,60,22,0,1
2013,20.6,25.9,15.8,1751.57,12.5,167,0,77,39,1,0
2014,20.3,26.3,15.1,1481.06,13.1,139,5,86,65,1,0
2015,21.8,27.5,17.1,1830.84,13.3,150,1,81,48,1,2
,,,,,,,,,,,
